  0      -99.99    -99.99    -99.99       0.00      0.00
  1      -47.18     -1.03     -1.03      53.39     55.21
  2      -41.73      4.93      4.93      54.22     55.12
  3      -38.78      8.39      8.39      54.95     55.02
  4      -36.84     10.80     10.80      55.59     54.90
  5      -35.46     12.65     12.65      56.16     54.78
  6      -34.43     14.13     14.13      56.68     54.65
  7      -33.66     15.35     15.35      57.15     54.51
  8      -33.06     16.38     16.38      57.59     54.37
  9      -32.60     17.26     17.26      58.02     54.23
 10      -32.26     18.02     18.02      58.45     54.08
 11      -32.01     18.67     18.67      58.90     53.93
 12      -31.84     19.25     19.25      59.38     53.79
 13      -31.74     19.75     19.75      59.92     53.65
 14      -31.70     20.19     20.19      60.53     53.51
 15      -31.71     20.56     20.56      61.24     53.39
 16      -31.77     20.89     20.89      62.06     53.28
 17      -31.87     21.16     21.16      63.04     53.17
 18      -32.01     21.39     21.39      64.18     53.09
 19      -32.18     21.58     21.58      65.52     53.01
 20      -32.38     21.73     21.73      67.09     52.95
 21      -32.60     21.83     21.83      68.92     52.91
 22      -32.84     21.90     21.90      71.02     52.87
 23      -33.09     21.93     21.93      73.41     52.85
 24      -33.35     21.93     21.93      76.10     52.83
 25      -33.59     21.89     21.89      79.09     52.82
 26      -33.82     21.81     21.81      82.34     52.80
 27      -34.02     21.70     21.70      85.83     52.77
 28      -34.18     21.56     21.56      89.48     52.73
 29      -34.29     21.38     21.38      93.20     52.67
 30      -34.35     21.18     21.18      96.89     52.57
 31      -34.35     20.94     20.94     100.45     52.45
 32      -34.30     20.67     20.67     103.76     52.29
 33      -34.19     20.38     20.38     106.75     52.09
 34      -34.03     20.07     20.07     109.34     51.86
 35      -33.84     19.73     19.73     111.49     51.60
 36      -33.60     19.38     19.38     113.20     51.33
 37      -33.34     19.00     19.00     114.47     51.07
 38      -33.04     18.61     18.61     115.35     50.85
 39      -32.73     18.21     18.21     115.89     50.68
 40      -32.40     17.79     17.79     116.13     50.61
 41      -32.06     17.34     17.34     116.15     50.67
 42      -31.72     16.88     16.88     116.00     50.90
 43      -31.38     16.39     16.39     115.73     51.32
 44      -31.05     15.87     15.87     115.36     51.98
 45      -30.74     15.31     15.31     114.94     52.89
 46      -30.46     14.71     14.71     114.45     54.08
 47      -30.20     14.06     14.06     113.90     55.58
 48      -29.98     13.37     13.37     113.26     57.41
 49      -29.79     12.62     12.62     112.53     59.61
 50      -29.63     11.82     11.83     111.66     62.21
 51      -29.50     10.98     10.98     110.64     65.25
 52      -29.41     10.11     10.11     109.43     68.82
 53      -29.33      9.22      9.22     108.04     72.98
 54      -29.27      8.34      8.34     106.45     77.81
 55      -29.22      7.51      7.51     104.68     83.40
 56      -29.17      6.78      6.78     102.75     89.73
 57      -29.11      6.20      6.20     100.71     96.74
 58      -29.06      5.82      5.82      98.60    104.19
 59      -28.99      5.67      5.67      96.46    111.75
 60      -28.93      5.73      5.73      94.33    119.06
 61      -28.87      5.97      5.97      92.24    125.81
 62      -28.81      6.35      6.35      90.21    131.84
 63      -28.77      6.80      6.80      88.22    137.11
 64      -28.74      7.29      7.29      86.27    141.64
 65      -28.73      7.77      7.77      84.34    145.50
 66      -28.73      8.22      8.22      82.40    148.77
 67      -28.76      8.63      8.63      80.43    151.49
 68      -28.80      9.00      9.00      78.40    153.70
 69      -28.85      9.31      9.31      76.31    155.44
 70      -28.92      9.57      9.57      74.15    156.71
 71      -28.99      9.80      9.80      71.92    157.55
 72      -29.07     10.00     10.00      69.63    157.98
 73      -29.15     10.19     10.19      67.28    158.06
 74      -29.24     10.36     10.36      64.88    157.86
 75      -29.34     10.54     10.54      62.43    157.47
 76      -29.43     10.71     10.71      59.90    156.97
 77      -29.53     10.89     10.89      57.31    156.43
 78      -29.63     11.05     11.05      54.65    155.93
 79      -29.73     11.20     11.20      51.92    155.49
 80      -29.82     11.32     11.32      49.14    155.11
 81      -29.90     11.41     11.41      46.34    154.78
 82      -29.97     11.46     11.46      43.55    154.43
 83      -30.04     11.47     11.47      40.80    154.04
 84      -30.11     11.44     11.44      38.12    153.52
 85      -30.18     11.38     11.38      35.51    152.85
 86      -30.27     11.30     11.30      32.96    151.99
 87      -30.37     11.20     11.20      30.43    150.93
 88      -30.51     11.10     11.10      27.88    149.68
 89      -30.66     11.00     11.00      25.23    148.29
 90      -30.84     10.91     10.91    -157.57    -33.19
 91      -31.03     10.82     10.82    -160.57    -34.69
 92      -31.22     10.74     10.74    -163.80    -36.17
 93      -31.40     10.65     10.65    -167.25    -37.58
 94      -31.55     10.55     10.55    -170.85    -38.91
 95      -31.68     10.43     10.43    -174.54    -40.18
 96      -31.78     10.28     10.28    -178.21    -41.43
 97      -31.86     10.10     10.10     178.22    -42.69
 98      -31.94      9.88      9.88     174.82    -44.02
 99      -32.01      9.64      9.64     171.60    -45.47
100      -32.11      9.37      9.37     168.54    -47.07
101      -32.24      9.08      9.08     165.57    -48.84
102      -32.42      8.77      8.77     162.63    -50.80
103      -32.63      8.46      8.46     159.62    -52.91
104      -32.88      8.13      8.14     156.45    -55.17
105      -33.16      7.80      7.80     153.08    -57.54
106      -33.47      7.46      7.46     149.44    -59.99
107      -33.78      7.10      7.10     145.55    -62.53
108      -34.10      6.71      6.71     141.42    -65.16
109      -34.41      6.30      6.30     137.10    -67.92
110      -34.72      5.84      5.84     132.65    -70.86
111      -35.02      5.35      5.35     128.11    -74.06
112      -35.33      4.82      4.82     123.51    -77.60
